Species,Long,Lat ,MSB:Mamm:196608
C c merriami,-105.76252,32.798535,34887527
C c merriami,-105.762271,32.851806,13711368
C c merriami,-105.762128,32.975058,21766105
C c merriami,-105.760687,32.810229,19139961
C c merriami,-105.760422,32.829708,24564904
C c merriami,-105.759311,32.840436,33238578
C c merriami,-105.759011,32.943578,18084382
C c merriami,-105.758638,32.939201,4679192
C c merriami,-105.754526,32.890844,15187880
C c merriami,-105.754277,32.987091,34078858
C c merriami,-105.753334,32.936534,30026669
C c merriami,-105.75318,32.866169,33365482
C c merriami,-105.753106,32.807982,24564876
C c merriami,-105.752622,32.80294,9271586
C c merriami,-105.752373,32.813992,33810837
C c merriami,-105.751495,32.956996,29689484
C c merriami,-105.750948,32.956428,14030310
C c merriami,-105.748221,32.914471,18084193
C c merriami,-105.747911,32.866772,13759457
C c merriami,-105.746365,32.926407,24565020
C c merriami,-105.746326,32.997542,33411258
C c merriami,-105.746292,32.825713,33196001
C c merriami,-105.746204,32.688346,33993300
C c merriami,-105.745779,32.810329,35764091
C c merriami,-105.745468,32.869058,22071239
C c merriami,-105.745408,32.851779,33700843
C c merriami,-105.744896,33.540716,4615483
C c merriami,-105.744797,32.806892,33683276
C c merriami,-105.74453,32.830375,13728174
C c merriami,-105.744526,32.922911,13581079
C c merriami,-105.744206,32.802334,14030421
C c merriami,-105.744178,32.698497,33686700
C c merriami,-105.742641,32.95189,14003593
C c merriami,-105.74238,32.795894,32692362
C c merriami,-105.742185,32.910969,30077799
C c merriami,-105.741693,32.853695,33697867
C c merriami,-105.741673,32.627383,33354012
C c merriami,-105.741421,32.986923,26901467
C c merriami,-105.740939,32.884871,36077615
C c merriami,-105.739793,32.861292,29691315
C c merriami,-105.73882,32.812168,15188382
C c merriami,-105.737991,32.993896,28980124
C c merriami,-105.736441,32.909404,13728207
C c merriami,-105.733997,32.990825,29690116
C c merriami,-105.733494,32.940948,25392939
C c merriami,-105.73278,32.803211,13728200
C c merriami,-105.732586,32.875244,22710193
C c merriami,-105.73222,32.80584,34513325
C c merriami,-105.730567,32.849624,35290469
C c merriami,-105.730109,32.894034,33319253
C c merriami,-105.729303,32.853522,15158122
C c merriami,-105.727353,33.429547,5939845
C c merriami,-105.726713,32.875385,34244297
C c merriami,-105.726444,32.895301,33846464
C c merriami,-105.724626,32.88925,33365515
C c merriami,-105.724361,32.94392,24868840
C c merriami,-105.723986,32.837055,34405638
C c merriami,-105.722049,32.944919,10697078
C c merriami,-105.721962,32.893618,36397340
C c merriami,-105.721221,33.332054,5660686
C c merriami,-105.720904,32.977475,30176997
C c merriami,-105.720737,32.949306,34407255
C c merriami,-105.719857,33.368048,18707539
C c merriami,-105.718967,32.841357,15188240
C c merriami,-105.717939,32.814146,34638122
C c merriami,-105.717722,33.030084,28215840
C c merriami,-105.717294,32.828291,21765873
C c merriami,-105.714315,32.883298,28432781
C c merriami,-105.714145,32.915144,13580340
C c merriami,-105.714062,32.849776,15584448
C c merriami,-105.713814,32.914656,28866517
C c merriami,-105.71374,32.991179,21102948
C c merriami,-105.712731,32.857202,21765940
C c merriami,-105.712686,32.841595,30081698
C c merriami,-105.711893,32.844435,29783149
C c merriami,-105.711384,32.740013,33685633
C c merriami,-105.711325,32.881115,19239321
C c merriami,-105.710987,32.931129,30077905
C c merriami,-105.710891,32.959668,21127507
C c merriami,-105.710497,32.740321,33683219
C c merriami,-105.709421,32.935493,3630736
C c merriami,-105.707411,32.919316,33932185
C c merriami,-105.707156,32.864695,14468451
C c merriami,-105.706633,32.832333,13726163
C c merriami,-105.706569,32.950125,35010931
C c merriami,-105.706455,32.932586,13759200
C c merriami,-105.706314,32.951684,12218210
C c merriami,-105.705728,33.158444,14348328
C c merriami,-105.705505,32.668114,33697922
C c merriami,-105.704598,32.975095,15187534
C c merriami,-105.704337,32.830784,34891505
C c merriami,-105.704264,32.85404,29151291
C c merriami,-105.702611,32.846623,14406455
C c merriami,-105.701431,32.971778,30045289
C c merriami,-105.701363,32.969019,22637346
C c merriami,-105.700572,32.849154,33703211
C c merriami,-105.700207,32.978616,13711593
C c merriami,-105.698946,32.88814,21860893
C c merriami,-105.698711,32.99007,14429145
C c merriami,-105.698706,32.854822,29767813
C c merriami,-105.69832,32.815113,21136283
C c merriami,-105.697945,32.994956,28864702
C c merriami,-105.697662,32.999399,29768012
C c merriami,-105.697167,32.941569,29768066
